2025.11.08 17:32:06 INFO  [INFO] Building Azure Java Functions 1.0-SNAPSHOT
2025.11.08 17:32:06 INFO  [INFO]   from pom.xml
2025.11.08 17:32:06 INFO  [INFO] --------------------------------[ jar ]---------------------------------
2025.11.08 17:32:06 INFO  [INFO] 
2025.11.08 17:32:06 INFO  [INFO] --- bloop:2.0.1:bloopInstall (default-cli) @ AzureDevWork ---
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/scala-lang/scala-library/2.13.8/scala-library-2.13.8.pom
2025.11.08 17:32:06 INFO  Progress (1): 1.1 kB
2025.11.08 17:32:06 INFO  Progress (1): 1.6 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/scala-lang/scala-library/2.13.8/scala-library-2.13.8.pom (1.6 kB at 35 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/ch/epfl/scala/bloop-config_2.13/2.0.2/bloop-config_2.13-2.0.2.pom
2025.11.08 17:32:06 INFO  Progress (1): 1.4 kB
2025.11.08 17:32:06 INFO  Progress (1): 2.3 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/ch/epfl/scala/bloop-config_2.13/2.0.2/bloop-config_2.13-2.0.2.pom (2.3 kB at 63 kB/s)
2025.11.08 17:32:06 INFO  Downloading from central: https://repo.maven.apache.org/maven2/com/github/plokhotnyuk/jsoniter-scala/jsoniter-scala-core_2.13/2.4.0/jsoniter-scala-core_2.13-2.4.0.pom
2025.11.08 17:32:06 INFO  Progress (1): 1.4 kB
2025.11.08 17:32:06 INFO  Progress (1): 2.3 kB
2025.11.08 17:32:06 INFO                      
2025.11.08 17:32:06 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/com/github/plokhotnyuk/jsoniter-scala/jsoniter-scala-core_2.13/2.4.0/jsoniter-scala-core_2.13-2.4.0.pom (2.3 kB at 56 kB/s)
